X,Y,LOCATION_ORIGINAL,ATE_TYPE,ATE_STATUS,OBJECTID
-77.0045927925673,38.9088974227415,New York Ave w/b @ Florida Ave NE,Red Light Safety Camera Enforcement Sites,Active,2611
-77.0336530027354,38.8920898511516,Constitution Ave w/b @ 15th St NW,Red Light Safety Camera Enforcement Sites,Active,2612
-77.0561057199014,38.9025312823491,K St e/b @ 27th St NW,Red Light Safety Camera Enforcement Sites,Active,2613
-77.0319550905087,38.9025230940737,14th St n/b @ K St NW,Red Light Safety Camera Enforcement Sites,Active,2614
-77.0151780076862,38.887566613732,Independence Ave e/b @ 3rd St SW,Red Light Safety Camera Enforcement Sites,Active,2615
-77.0592426132842,38.936824773972,Connecticut Ave s/b @ Porter St NW,Red Light Safety Camera Enforcement Sites,Active,2616
-77.0319572765401,38.8859679352879,14th St n/b @ C St SW,Red Light Safety Camera Enforcement Sites,Active,2617
-76.9938621122743,38.9219905994325,Rhode Island Ave sw/b @ Reed St NE,Red Light Safety Camera Enforcement Sites,Active,2618
-76.9589995007617,38.8619232207666,Branch Ave n/b @ Alabama Ave SE,Red Light Safety Camera Enforcement Sites,Active,2619
-77.0733092776302,38.9610177200194,Connecticut Ave n/b @ Military NW,Red Light Safety Camera Enforcement Sites,Active,2620
-77.070228824199,38.9050234397406,M St w/b @ Whitehurst Frwy NW,Red Light Safety Camera Enforcement Sites,Active,2621
-77.0803985210468,38.9496850729614,Wisconsin Ave n/b @ Brandywine NW,Red Light Safety Camera Enforcement Sites,Active,2622
-76.9467592497372,38.8637423277218,Pennsylvania e/b @ Southern Ave SE,Red Light Safety Camera Enforcement Sites,Active,2623
-77.0515134324718,38.9235298293341,Connecticut Ave n/b @ Calvert St NW,Red Light Safety Camera Enforcement Sites,Active,2624
-77.0334246336663,38.9620423182498,Military Rd w/b @ 14th St NW,Red Light Safety Camera Enforcement Sites,Active,2625
-77.0089167353295,38.9073987863871,NY AVE SW/B @ N CAPITOL ST NE,Red Light Safety Camera Enforcement Sites,Active,2626
-76.9689688371308,38.8727809799635,Pennsylvania Ave se/b @ 27th St SE,Red Light Safety Camera Enforcement Sites,Active,2627
-77.071558718764,38.9546930223778,Nebraska Ave ne/b @ Fessenden St NW,Red Light Safety Camera Enforcement Sites,Active,2628
-77.0090632558384,38.9002082158237,N Capitol St s/b @ H St NW,Red Light Safety Camera Enforcement Sites,Active,2629
-77.0862095075912,38.9547046667796,Fessenden St e/b @ 44th St NW,Stop Sign Safety Camera Enforcement Sites,Active,2630
