X,Y,OBJECTID,AGENCY,PROJECT_TITLE,ADDRESS,MAR_MATCHADDRESS,LABEL,YEAR,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0052467963786,38.8309408687232,795,FB0,ENGINE 33,101 ATLANTIC STREET SE,101 ATLANTIC STREET SE,,2010,399544.63,129238.38,294471,CapitalProjectsPt_34,{D7996A1A-D53D-4B46-A6C6-A1C00A42E868},,,,
-76.9991871249605,38.8289933534678,796,District of Columbia Public Schools,Hendley Elementary School,425 Chesapeake St. SE,425 Chesapeake St. SE,9,2012,400070.78,129022.18,24445,CapitalProjectsPt_269,{2C71E490-55D9-4F47-B95B-840BF3FCDFFD},,,,
-76.9991871134438,38.8289933534677,797,,PHASE 1,425 CHESAPEAKE STREET SE,425 CHESAPEAKE STREET SE,,2010,400070.7805,129022.18,24445,CapitalProjectsPt_92,{8FA3B2F0-A99D-4CD5-9BD2-91FADC0478AE},,,,
-77.0128941847555,38.8282042225853,798,,PHASE 1,4201 MARTIN LUTHER KING JR AVENUE SW,4201 MARTIN LUTHER KING JR AVENUE SW,,2010,398880.5805,128934.66,294592,CapitalProjectsPt_63,{3956E31E-6E17-4A1D-955D-3C6EB1D771D0},,,,
-77.0147025612549,38.826661308211,799,DPR,Fort Greble Recreation Center,4200 Martin Luther King Jr. Av SW,FORT GREBLE RECREATION CENTER,5,2014,398723.53,128763.41,296176,CapitalProjectsPt_353,{83626506-7E77-43F9-A691-C3C6866588EE},,,,
-77.0030891190846,38.8239113662993,800,GF0,RENOVATION OF UNIVERSITY FACILITIES,4600 LIVINGSTON ROAD SE,4600 LIVINGSTON ROAD SE,,2011,399731.95,128458.05,294600,CapitalProjectsPt_249,{DCE358E2-9436-48E2-A586-D81FEA3E4456},,,,
-77.0160828001194,38.8205422992005,801,FB0,EVOC COURSE,4600 SHEPHERD PARKWAY SW,4600 SHEPHERD PARKWAY SW,,2011,398603.56,128084.18,295479,CapitalProjectsPt_245,{AEAC30FF-6C08-4017-9D23-79E4CC74875F},,,,
-77.0160828001194,38.8205422992005,802,FB0,TRAINING ACADEMY SITE IMPROVEMENTS,4600 SHEPHERD PARKWAY SW,4600 SHEPHERD PARKWAY SW,,2011,398603.56,128084.18,295479,CapitalProjectsPt_241,{267AF86C-4330-4BFD-876D-7063D3E0AF8D},,,,
-77.0160828001194,38.8205422992005,803,FB0,TRAINING ACADEMY SITE IMPROVEMENTS,4600 SHEPHERD PARKWAY SW,4600 SHEPHERD PARKWAY SW,,2010,398603.56,128084.18,295479,CapitalProjectsPt_35,{8738E57F-3E68-4E58-A765-861898AC8CC6},,,,
-77.0160828001194,38.8205422992005,804,FB0,FIRE TRAINING SIMULATORS,4600 SHEPHERD PARKWAY SW,4600 SHEPHERD PARKWAY SW,,2011,398603.56,128084.18,295479,CapitalProjectsPt_242,{82085BA7-900B-4D6F-B9D2-09D103393EEF},,,,
-77.0160292390064,38.8205283434271,805,Fire & Emergency Medical Services,FEMS Training Academy - Major Renovations,4600 Shepherd Parkway SW,4600 Shepherd Parkway SW,9,2012,398603.56,128084.18,295479,CapitalProjectsPt_298,{D7639F27-94B8-450F-A2B1-045E733D8A86},,,,
-77.0101640119368,38.8188976559658,806,HA0,BALD EAGLE RECREATION CENTER,100 JOLIET STREET SW,100 JOLIET STREET SW,,2010,399117.53,127901.54,301277,CapitalProjectsPt_56,{00D3A4BC-92F9-4A4B-B6C0-2545AAD9583D},,,,
-77.0157289543563,38.815412286323,807,KT0,UPGRADE TO DPW FUELING SITES,2 DC VILLAGE LANE SW,2 DC VILLAGE LANE SW,,2011,398634.19,127514.71,299538,CapitalProjectsPt_137,{EBE34157-6F58-4385-9F51-96F0306E4CA3},,,,
-77.0178217624461,38.8137275782688,808,KT0,BLUE PLAINS DISTRICT IMPOUND LOT,5001 SHEPHERD PARKWAY SW,5001 SHEPHERD PARKWAY SW,,2010,398452.4,127327.73,299541,CapitalProjectsPt_57,{41853C79-9BA3-461F-8EB6-C5E915BBFB0B},,,,
